User: manidani,Path: T:\Lab Member Data\Daniel\DATA clario-phera\Data\,Test run no.: 1714
Test name: 1536 agar plates,Date: 9/23/2019,Time: 10:10:53 AM

ID1: 001,ID2: glu,ID3: 23092019,
Fluorescence (FI), multichromatic

Well,Content,Group,Raw Data (485/520 1),Raw Data (400/520 2),Raw Data (575/620 3),Raw Data (340/450 4),RTG,roGFP2 ratio,
F14,Sample X2,P,103393,162711,60608,134046,0.4521,0.9893,
F15,Control C3,P,137504,135970,8531,130101,0.0656,0.5202,
F16,Control C4,P,142712,138570,8987,134994,0.0666,0.5194,
G13,Blank B,P,9446,74886,3132,157498,0.0199,,
G14,Blank B,P,8899,71121,2856,145621,0.0196,,
G15,Sample X1,P,146969,152705,64338,154767,0.4157,0.6056,
G16,Sample X1,P,142646,150658,64050,153770,0.4165,0.6098,
H13,Blank B,P,7884,64587,2289,122381,0.0187,,
H14,Blank B,P,7959,64931,2458,123268,0.0199,,
H15,Sample X1,P,115651,127353,55615,123407,0.4507,0.5459,
H16,Sample X1,P,124740,135509,59504,133720,0.445,0.5734,
E17,Sample X2,Q,137795,194636,42313,172695,0.245,0.9451,
E18,Sample X2,Q,123594,179514,39476,162295,0.2432,0.9302,
E19,Control C1,Q,161641,160961,10565,153692,0.0687,0.5743,
E20,Control C2,Q,151786,149260,9188,142771,0.0644,0.5317,
F17,Sample X2,Q,94124,142814,30017,113429,0.2646,0.8197,
F18,Sample X2,Q,93230,140908,28708,110042,0.2609,0.8056,
F19,Control C3,Q,134322,133932,7273,122488,0.0594,0.4831,
F20,Control C4,Q,128972,127524,6798,115786,0.0587,0.4509,
G17,Blank B,Q,10872,79428,4966,122749,0.0405,,
G18,Blank B,Q,10546,77170,4574,118320,0.0387,,
G19,Sample X1,Q,129463,147939,67991,139486,0.4874,0.62,
G20,Sample X1,Q,126482,145925,68511,136100,0.5034,0.6186,
H17,Blank B,Q,9344,69638,3723,99947,0.0372,,
H18,Blank B,Q,9444,69372,3553,101867,0.0349,,
H19,Sample X1,Q,115529,135405,64110,125502,0.5108,0.5831,
H20,Sample X1,Q,114299,133812,64775,124878,0.5187,0.5747,
E21,Sample X2,R,116412,180284,70523,150024,0.4701,0.9724,
E22,Sample X2,R,109363,173288,68930,139533,0.494,0.971,
E23,Control C1,R,124877,139770,10105,121415,0.0832,0.5484,
E24,Control C2,R,122837,138066,9617,119844,0.0802,0.5432,
F21,Sample X2,R,93609,153261,61564,117943,0.522,0.9145,
F22,Sample X2,R,89378,147582,59551,113325,0.5255,0.8917,
F23,Control C3,R,108908,122640,7933,100768,0.0787,0.4638,
F24,Control C4,R,108098,119510,8035,100248,0.0802,0.4358,
G21,Blank B,R,10503,80389,6389,139674,0.0457,,
G22,Blank B,R,9858,76205,5926,132726,0.0446,,
G23,Sample X1,R,138378,145869,61171,149169,0.4101,0.5383,
G24,Sample X1,R,135151,142712,60805,146391,0.4154,0.5269,
H21,Blank B,R,9792,76071,5264,132485,0.0397,,
H22,Blank B,R,9511,74232,5067,129927,0.039,,
H23,Sample X1,R,130711,139003,60517,141187,0.4286,0.5156,
H24,Sample X1,R,129084,139003,59842,140003,0.4274,0.5226,
E25,Sample X2,S,99216,171427,65126,129817,0.5017,1.0557,
E26,Sample X2,S,111151,188403,72277,142491,0.5072,1.0989,
E27,Control C1,S,188651,163578,3727,176318,0.0211,0.4833,
E28,Control C2,S,203324,177295,4121,192199,0.0214,0.5176,
F25,Sample X2,S,88319,150439,57243,109930,0.5207,0.9346,
F26,Sample X2,S,101177,170334,65428,128727,0.5083,1.021,
F27,Control C3,S,169081,147016,3268,152025,0.0215,0.4387,
F28,Control C4,S,200869,172598,3786,186060,0.0203,0.4996,
G25,Blank B,S,9768,75648,4527,147557,0.0307,,
G26,Blank B,S,10582,80440,4904,165695,0.0296,,
G27,Sample X1,S,159238,162142,51858,169314,0.3063,0.569,
G28,Sample X1,S,185054,187119,58417,199841,0.2923,0.6277,
H25,Blank B,S,9219,73064,4042,140739,0.0287,,
H26,Blank B,S,10338,79727,4657,161211,0.0289,,
H27,Sample X1,S,150023,157015,49615,161868,0.3065,0.5698,
H28,Sample X1,S,171442,174925,55317,181773,0.3043,0.6051,
E29,Sample X2,T,3635,44168,1570,16520,0.095,6.3096,
E30,Sample X2,T,3528,43852,1526,16246,0.0939,-7.3714,
E31,Control C1,T,3461,43693,1495,16287,0.0918,-0.37,
E32,Control C2,T,3404,43488,1481,16062,0.0922,1.1348,
F29,Sample X2,T,3542,43539,1510,16278,0.0928,9.7551,
F30,Sample X2,T,3413,42843,1495,15829,0.0944,5.7735,
F31,Control C3,T,3280,42351,1503,15597,0.0964,4.7675,
F32,Control C4,T,3214,41831,1465,15310,0.0957,5.3711,
G29,Blank B,T,3519,43499,1529,16345,0.0935,,
G30,Blank B,T,3374,42824,1436,16021,0.0896,,
G31,Sample X1,T,3290,42062,1518,15656,0.097,6.0416,
G32,Sample X1,T,3193,41897,1470,15329,0.0959,4.8761,
H29,Blank B,T,3697,44273,1551,16599,0.0934,,
H30,Blank B,T,3627,44038,1590,16137,0.0985,,
H31,Sample X1,T,3537,43926,1629,16032,0.1016,-15.5072,
H32,Sample X1,T,3448,43238,1552,15911,0.0975,3.9576,
E33,Sample X2,U,3405,43521,1506,15971,0.0943,7.0438,
E34,Sample X2,U,3344,43144,1540,15907,0.0968,7.3211,
E35,Control C1,U,3292,42629,1515,15766,0.0961,6.3478,
E36,Control C2,U,3272,42885,1546,15849,0.0975,9.5932,
F33,Sample X2,U,3147,41923,1495,15508,0.0964,-24.2857,
F34,Sample X2,U,3074,41331,1433,15368,0.0932,5.275,
F35,Control C3,U,3017,41062,1386,15105,0.0918,5.0438,
F36,Control C4,U,3002,41151,1382,15057,0.0918,3.9605,
G33,Blank B,U,3087,41323,1417,15260,0.0929,,
G34,Blank B,U,3012,40788,1429,15152,0.0943,,
G35,Sample X1,U,2936,40574,1304,15075,0.0865,5.4083,
G36,Sample X1,U,2942,40487,1434,15178,0.0945,5.9717,
H33,Blank B,U,3309,42916,1582,15796,0.1002,,
H34,Blank B,U,3208,41985,1534,15694,0.0977,,
H35,Sample X1,U,3060,41493,1510,15597,0.0968,2.766,
H36,Sample X1,U,3081,41600,1425,15623,0.0912,2.0959,
E37,Sample X2,V,3262,42944,1556,15736,0.0989,7.9781,
E38,Sample X2,V,3252,42847,1611,15833,0.1017,7.8784,
E39,Control C1,V,3280,42967,1528,15714,0.0972,7.3773,
E40,Control C2,V,3249,43312,1597,15883,0.1005,10.757,
F37,Sample X2,V,3014,41256,1446,15191,0.0952,3.5249,
F38,Sample X2,V,3008,41080,1468,15205,0.0965,5.6982,
F39,Control C3,V,2994,40803,1434,15252,0.094,8.0117,
F40,Control C4,V,3048,41602,1392,15286,0.0911,-3.712,
G37,Blank B,V,2944,40808,1446,15241,0.0949,,
G38,Blank B,V,2973,40859,1432,15304,0.0936,,
G39,Sample X1,V,2977,41349,1390,15351,0.0905,1.3399,
G40,Sample X1,V,2965,41218,1496,15224,0.0983,2.3457,
H37,Blank B,V,3168,41863,1428,15722,0.0908,,
H38,Blank B,V,3232,42414,1517,16036,0.0946,,
H39,Sample X1,V,3237,42777,1609,16039,0.1003,8.1838,
H40,Sample X1,V,3203,42445,1494,15767,0.0948,7.7495,
E41,Sample X2,W,3277,43232,1405,15550,0.0904,6.4762,
E42,Sample X2,W,3380,43341,1497,15640,0.0957,4.6933,
E43,Control C1,W,3429,43932,1531,15603,0.0981,5.6906,
E44,Control C3,W,3589,44536,1509,15809,0.0955,5.1034,
F41,Sample X2,W,3041,41063,1439,15064,0.0955,31.1154,
F42,Sample X2,W,3156,41979,1501,14953,0.1004,1.2022,
F43,Control C2,W,3320,42661,1494,15122,0.0988,3.1186,
F44,Control C4,W,3616,44275,1532,15547,0.0985,4.377,
G41,Blank B,W,2967,41230,1441,15087,0.0955,,
G42,Blank B,W,3046,41674,1439,15080,0.0954,,
G43,Sample X1,W,3229,42769,1469,15074,0.0975,5.537,
G44,Sample X1,W,3589,44461,1544,15576,0.0991,4.9598,
H41,Blank B,W,3137,42106,1455,15467,0.0941,,
H42,Blank B,W,3118,42478,1547,15175,0.1019,,
H43,Sample X1,W,3226,42966,1495,15135,0.0988,6.8805,
H44,Sample X1,W,3565,45044,1574,15431,0.102,6.3695,
E45,Sample X2,X,130442,211513,92325,212439,0.4346,0.8622,
E46,Sample X2,X,105983,183432,90140,190475,0.4732,0.7847,
E47,Control C1,X,205661,182271,4366,209959,0.0208,0.3665,
E48,Control C2,X,237837,207703,5345,252772,0.0211,0.428,
F45,Sample X2,X,117835,193536,88673,198364,0.447,0.7925,
F46,Sample X2,X,100643,173428,85671,179111,0.4783,0.7161,
F47,Control C3,X,201508,174969,3884,198348,0.0196,0.3354,
F48,Control C4,X,237299,208264,5177,245675,0.0211,0.4315,
G45,Blank B,X,16539,117891,12316,213563,0.0577,,
G46,Blank B,X,14372,103703,10229,189947,0.0539,,
G47,Sample X1,X,206381,207868,87249,237492,0.3674,0.4995,
G48,Sample X1,X,229325,230653,94245,260000,0.3625,0.5525,
H45,Blank B,X,16648,117530,11448,219229,0.0522,,
H46,Blank B,X,15726,111620,10574,211883,0.0499,,
H47,Sample X1,X,203406,206761,86263,236385,0.3649,0.5015,
H48,Sample X1,X,240322,239417,96921,260000,0.3728,0.5645,
I01,Sample X2,Y,114482,181306,69177,166099,0.4165,1.0455,
I02,Sample X2,Y,70018,125163,50448,106354,0.4743,0.8871,
I03,Control C1,Y,144788,133759,4252,130645,0.0325,0.4618,
I04,Control C2,Y,156043,144143,4443,142076,0.0313,0.4971,
J01,Sample X2,Y,85862,145108,57192,127372,0.449,0.9638,
J02,Sample X2,Y,61417,115729,47082,96047,0.4902,0.8527,
J03,Control C3,Y,116420,113086,3574,107783,0.0332,0.3913,
J04,Control C4,Y,137201,129548,3745,128950,0.029,0.4563,
K01,Blank B,Y,10482,79963,3605,155134,0.0232,,
K02,Blank B,Y,8030,65200,2449,113186,0.0216,,
K03,Sample X1,Y,120831,131230,53795,129145,0.4165,0.5382,
K04,Sample X1,Y,133209,142243,55968,142480,0.3928,0.5732,
L01,Blank B,Y,9874,75594,3255,144340,0.0226,,
L02,Blank B,Y,7756,63499,2469,107628,0.0229,,
L03,Sample X1,Y,110158,122119,50830,117849,0.4313,0.5049,
L04,Sample X1,Y,121148,134013,54260,130523,0.4157,0.5615,
I05,Sample X2,Z,3356,43517,1516,15628,0.097,4.1732,
I06,Sample X2,Z,3303,42823,1369,15525,0.0882,5.891,
I07,Control C1,Z,3369,43423,1447,15687,0.0922,4.8817,
I08,Control C2,Z,3724,45021,1549,16277,0.0952,3.9554,
J05,Sample X2,Z,3440,43767,1499,15876,0.0944,4.9005,
J06,Sample X2,Z,3363,43400,1408,15737,0.0895,4.8525,
J07,Control C3,Z,3438,43694,1460,15817,0.0923,5.3512,
J08,Control C4,Z,3749,45331,1577,16712,0.0944,5.1918,
K05,Blank B,Z,3506,44057,1516,16298,0.093,,
K06,Blank B,Z,3467,44029,1508,16080,0.0938,,
K07,Sample X1,Z,3561,44244,1424,16365,0.087,11.6232,
K08,Sample X1,Z,3785,45175,1575,16642,0.0946,3.5333,
L05,Blank B,Z,3677,45024,1588,16799,0.0945,,
L06,Blank B,Z,3663,44668,1497,16664,0.0898,,
L07,Sample X1,Z,3724,45232,1587,16655,0.0953,5.4031,
L08,Sample X1,Z,3865,45816,1639,17095,0.0959,4.7829,
